ID,Start time,Completion time,Email,Name,What is your business trading name?,Street address,Suburb,State,Postcode,Business phone number,Business email ,Website,Instagram,Facebook,Twitter,YouTube,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Type of business,"Describe your business, product or service",Delivery,Takeaway,Online sales,lat_long
,,,,,ACE Nurse School,"Suite 5, Level 1, 171 Bigge Street",Liverpool,NSW,2170,0297 344 444,info@acenurse.com.au,www.acenurse.com.au,,,,,y,y,y,y,y,,,Education or training service,Supportive aged care and first aid trainers.,,,,"-33.9216251, 150.9268253"
,,,,,All Accounted 4 Bookkeeping,,Chipping Norton,NSW,2170,0417 150 555,joanne@allbookkeeping.com.au,www.allbookkeeping.com.au,,https://www.facebook.com/aa4bk,,,y,y,y,y,y,,,"Administrative, financial and legal","Bookkeeping, Payroll, Accounts and BAS Services",,,,"-33.911, 150.959"
,,,,,All Suburbs Strata Management,10 Railway Street,Liverpool,NSW,2170,02 9600 7000,glenn.blewitt@assm.net.au,www.allsuburbsstrata.com.au,,https://www.facebook.com/AllSuburbsStrataManagement,https://twitter.com/ASSMStrata,,y,y,y,y,y,,,Real estate and property services,"Complete strata and community management, assisting owners, builders and occupiers.",,,,"-33.9244965, 150.9260526"
,,,,,Ananya by Abhishekh,2/215 George St,Liverpool,NSW,2170,0404 242 962,Radhikakumar1977@icloud.com,,,,,,y,,y,,,,y,"Retail, gifts and beauty services",Indian fashion retailer specialising in wedding and party wear.,,,,"-33.9232304, 150.9245199"
,,,,,Aquacotta Italian Restaurant,71 Hoxton Park Rd,Liverpool,NSW,2170,02 9601 0101,Admin@aquacotta.com.au,www.aquacotta.com.au,,,,,y,y,y,y,y,y,y,Eateries and catering,"Fresh authentic Italian cuisine including pizzas, pastas and tiramisu",y,y,y,"-33.9274452, 150.9090478"
,,,,,Aspire Physiotherapy and Sports Injury Clinic,"Suite 1, 173-179 Bigge Street",Liverpool,NSW,2170,02 8798 6991,info@aspirephysio.com.au,www.aspiresportsphysio.com,@aspiresportsphysio,,,,y,y,y,y,y,,,Health,"Physiotherapy and exercise physiology clinic focused on improving injuries, reducing pain and improving function.",,,,"-33.9219136, 150.9267945"
,,,,,Austral Seedlings,220 Eighth Avenue,Austral,NSW,2179,0407 942 358,sales@australseedlings.com.au,www.austral seedlings.com.au,,,,,y,y,y,y,y,y,,Outdoor and gardening services,Purchase Australian-grown organic seedlings from a local farmer that grows and sells to the public and farmers .,,,,"-33.938423, 150.802266"
,,,,,Bay Audio,1 Ingham Drive,Casula,NSW,2170,02 8170 9944,ctet@bayaudio.com.au,www.bayaudio.com.au/sotre-locator/casula,,,,,y,y,y,y,y,,,Health,At Bay Audio we believe that the ability to hear well is vital to enjoying all that life has to offer. Come in today and chat with one of our experts for all your hearing needs.,,,,"-33.9480532, 150.8997023"
,,,,,DROOST,129 Terminus St,Liverpool,NSW,2170,02 9824 3333,belle.droost@outlook.com,www.droostgroup.com.au,Instagram: droost.lebanesecuisine,,,,y,y,y,y,y,y,y,Eateries and catering,"Gourmet lebanese, charcoal chicken, burgers, dips and sides, available for pick-up or delivery.",y,y,,"-33.926542, 150.9212835"
,,,,,Ed.Square Sales & Display Centre,Cnr Soldiers Parade and Campbelltown Road,Edmondson Park,NSW,2174,13 38 38,feedback@frasersproperty.com.au,www.fraserproperty.com.au,,,,,y,y,y,y,y,y,y,Real estate and property services,"Ed.Square is the future heart of Sydney's booming South West. From Frasers Property Australia, this new community brings inner city edge, but with so much more than you expected.",,,,"-33.9732284, 150.8600304"
,,,,,Get Addicted Fitness & Personal Training,"Cecil Hills Public School, Leopold Place",Cecil Hills,NSW,2171,0419 490 091,getactive@getaddictedfitness.com.au,www.getaddictedfitness.com.au,instagram.com/GetAddictedFitness,facebook.com/GetAddictedFitness,,,y,y,y,y,y,y,,Fitness,Personal training.,,,,"-33.8885925, 150.851595"
,,,,,JCorp Accountants,180 Leacocks Lane,Casula,NSW,2170,1300 733 795,cpa@jcorpaccountants.com.au,www.jcorpaccountants.com.au,,,,,y,y,y,y,y,y,,"Administrative, financial and legal",Tax Agents & Accountants,,,,"-33.9589324, 150.8963308"
,,,,,KMA Martial Arts,2/227-229 George St,Liverpool,NSW,2170,02 9824 1003,fari@martialartsforlife.com.au,www.kmamartialarts.com.au,,,,,y,y,y,y,y,y,,Fitness,"Martial  arts & fitness  for men,women, teens & children",,,,"-33.9234994, 150.9245602"
,,,,,La Rumbla Ristorante,"Shop 7, 600 Hoxton Park Road",Hoxton Park,NSW,2171,02 9825 8900,info@larumbla.com.au,www.larumbla.com.au/,,https://www.facebook.com/LaRumblaRistorante/,,,,y,y,y,y,y,y,Eateries and catering,"Authentic Italian cuisine, dine-in, takeaway & delivery.",y,y,,"-33.927086, 150.856985"
,,,,,Lara's Café,"269 Bigge Street, Liverpool",Liverpool,NSW,2170,02 9620 4706,Looks_good_cafe@hotmail.com,,,,,,y,y,y,y,y,,,Eateries and catering,Café style food and great coffee.,,,,"-33.9248223, 150.9262676"
,,,,,Macquarie Fruit Shop,317 Macquarie Street,Liverpool,NSW,2170,,,,,,,,y,y,y,y,y,y,y,Groceries and wholesalers,"Fresh fruit, vegetables and other goods.",,,,"-33.9252771, 150.9222565"
,,,,,Margherita Restaurant,36 Railway Street,Liverpool,NSW,2170,0470 284 320,Margheritarestaurant36@gmail.con,www.margheritafood.com,,,,,y,y,y,y,y,y,,Eateries and catering,Authentic Italian cuisine.,,,,"-33.9244585, 150.9252108"
,,,,,Markham Geikie Farrugia,58 Moore Street,Liverpool,NSW,2170,02 9602 8488,info@mgfarrugia.com.au,www.mgfarrugia.com.au,,https://www.facebook.com/MarkhamGeikieFarrugiaLawyersAndTaxAgents/,,,y,y,y,y,y,,,"Administrative, financial and legal","Legal services also including drafting wills, powers of attorney and guardianships, and conveyancing.",,,,"-33.9228652, 150.9245242"
,,,,,Mary's Florist,"Kiosk 14, 1 Lancaster Ave",Cecil Hills,NSW,2171,02 9822 9550,marysfloristliverpool@hotmail.com,www.marysfloristliverpool.com.au,,,,,y,y,y,y,y,y,,"Retail, gifts and beauty services","Operating and servicing the Liverpool area since 1995, delivering fresh flowers across Sydney metro for all occasions, birthdays, romance, sympathy, babies, weddings, funeral tributes.",,,,"-33.887116, 150.84859"
,,,,,MDC Water,Unit 4/20 Alfred Road,Chipping Norton,NSW,2170,02 8710 7352,info@waterfilter.net.au,waterfilter.net.au,,,,,y,y,y,y,y,,,Outdoor and gardening services,Water filtration systems for residential and commercial application.,,,,"-33.9239016, 150.9665359"
,,,,,Netplanet Digital,252-264 Hoxton Park Road,Prestons,NSW,2170,1300 033 707,support@netplanetdigital.com.au,www.netplanetdigital.com.au/,,https://www.facebook.com/netplanetdigital/,,,y,y,y,y,y,,,Creative service,"Digital marketing - support with website development, social media, Google ads, SEO and graphics.",,,,"-33.9282562, 150.8918434"
,,,,,Planzone,"Suite 1, Level 8, 269 Bigge Street",Liverpool,NSW,2170,02 8706 9797,enquiry@planzone.com.au,www.panzone.com.au,,,,,y,y,y,y,y,,,Architecture and planning services,Town planning and architectural design for all approval applications.,,,,"-33.9248223, 150.9262676"
,,,,,Roop Darshan,229 George Street,Liverpool,NSW,2170,02 9824 3500,Info@roopdarshan.com.au,,,,,,y,,y,y,y,,y,"Retail, gifts and beauty services",Boutique Indian fashion store,,,,"-33.9234968, 150.9245127"
,,,,,Roopam Fashion,2/227 George Street,Liverpool,NSW,2170,0420 277 301,Roopam@livecom.au,,,,,,y,y,y,y,y,y,y,"Retail, gifts and beauty services",One stop shop for Indian clothing.,,,,"-33.9235194, 150.9244643"
,,,,,Signarama Liverpool,33 Moore Street,Liverpool,NSW,2170,0403 657 089,liverpool@signarama.com.au,www.signarama.com.au,,,,,y,y,y,y,y,,,"Retail, gifts and beauty services","Sneeze guards, floor stickers, banners, signage.",,,,"-33.9224895, 150.9254373"
